,Mumbai,Delhi,Bengaluru,Hyderabad,Ahmedabad,Chennai,Kolkata,Pune,Jaipur,Surat,Lucknow,Kanpur,Nagpur,Visakhapatnam,Bhopal,Patna,Ludhiana,Agra,Nashik,Faridabad,Meerut,Rajkot,Varanasi,Srinagar,Aurangabad,Dhanbad,Amritsar,Navi Mumbai,Allahabad,Ranchi,Howrah,Coimbatore,Jabalpur,Gwalior,Vijayawada,Jodhpur,Madurai,Raipur,Kota,Guwahati,Chandigarh,Solapur,Hubli,Mysore,Tiruchirappalli,Bareilly,Aligarh,Moradabad,Gurgaon,Jalandhar,Latitude,Longitude
Mumbai,0.0,1149.6083877138387,843.1129143956157,622.0197085408088,438.1061360603218,1031.8687770596405,1656.861150286772,120.13816971268406,917.5650883028599,231.8915382644917,1193.0791124676844,1118.7240810657095,688.6091190408852,1103.3471379839502,660.4862985512904,1453.4930196629075,1343.816028055739,1039.3463909667537,139.88821377418643,1128.129419566111,1201.9771955195438,417.67536025658336,1248.8395861382814,1673.7150706669713,273.5922438634721,1498.0334776963334,1405.504669269819,16.692181025962235,1161.4647529643603,1373.80196846831,1647.206985420646,993.5430820198678,866.8997353813397,960.3724202839508,871.4486036047442,793.3643201580364,1159.1554639795463,945.8994001865486,746.1535617437047,2088.0228583282114,1349.8167795365691,356.3862888142078,475.1370456506002,851.6376497792493,1110.2441194623814,1226.2723602398544,1112.1521413149744,1236.0713730049438,1121.7493080521738,1383.8523067035471,19.076,72.8777
Delhi,1149.6083877138387,0.0,1742.6509052375038,1261.5199186370924,775.9893714666632,1760.4686446995104,1318.13891581683,1175.3326520543105,237.09469950848037,939.2240011298726,431.1169022310162,405.034481865487,860.8887118375447,1370.7217966141438,603.95104657471,867.5369847747193,271.6474738197601,191.29250347237044,1021.1168264765859,38.91287970692878,66.62356219851009,950.329686875856,692.9039721452648,635.4299005217828,993.9379658884286,1078.3697858540847,389.38034299035525,1148.388262362192,593.6626066973022,1013.1345016728997,1308.1138453017588,1958.209010131241,676.5166353313315,295.42230137380034,1398.8636761599432,486.8631108404522,2081.6058901654415,943.3884385839569,405.78176900642325,1473.474646830192,227.0939643296299,1229.2195142390585,1491.0920019349892,1817.3027769900948,1990.1985335174104,230.87324816288296,131.66824621195985,163.83607624465955,28.107248876595584,325.8030318305286,28.7041,77.1025
Bengaluru,843.1129143956157,1742.6509052375038,0.0,497.6617769783633,1232.725178971918,290.54316698169487,1558.515250675691,733.0219527570083,1554.8292815343468,1039.1428249211037,1575.3860507190388,1519.2823383080363,918.4868421675831,797.9138267903313,1138.9138372637078,1605.4611661896647,1993.4267701356357,1573.2309969638563,877.103686776111,1709.4294313550897,1773.0202242090468,1258.9104086158873,1478.6206908913355,2355.451225461557,800.977883839299,1517.7684311026944,2085.3977461150293,829.6672721364122,1450.0262499513415,1407.8238367602446,1552.4689024726454,227.1584286109544,1157.9890885991554,1467.7408950312338,510.8933787056641,1544.5447823296456,341.8246295917373,1011.7627200548347,1367.2772918277283,2077.0347189841364,1968.6199887959565,549.5178845545754,375.8120698034303,127.89977274647764,269.8891922701386,1715.1525471732177,1653.2984087317893,1761.0470213711067,1715.8076254927873,2043.0495849082731,12.9716,77.5946
Hyderabad,622.0197085408088,1261.5199186370924,497.6617769783633,0.0,878.2020046740141,513.1679084541956,1182.0065495782494,506.29102742737217,1091.0133360641662,727.1748953271652,1077.9205482466803,1021.6537711467666,421.076340890121,503.5111059336706,659.9947737570506,1140.1541909428083,1520.5740754470723,1085.411045038943,573.6044962438395,1226.690240889941,1287.104282096723,971.4915729597383,993.7600184017326,1886.2662061142744,431.31592490659057,1090.13987649344,1619.953632766797,605.3275423084982,956.9021767899255,970.54187038523,1174.041583298753,723.685817070995,660.5445322334441,978.6075301454894,249.91067047216023,1131.0103534879247,826.2867406404753,540.5656783280413,908.4184738686372,1676.973380818253,1488.5787599667137,275.6743230928254,423.11922009059896,597.1525043654044,730.0024582886575,1220.0291388853523,1164.8742067389903,1268.802973903307,1235.5178012922731,1571.9680624589644,17.385,78.4867
Ahmedabad,438.1061360603218,775.9893714666632,1232.725178971918,878.2020046740141,0.0,1368.413547194862,1621.4753390340877,516.0899647424286,539.4892160843393,206.85134514860937,945.6767989159893,871.7976094128529,703.823157448459,1258.1980343917237,496.4876028568275,1306.3912871392738,931.7785293397746,715.7099725797044,357.93336390352596,763.3302475775893,836.7404000773047,198.47809906443123,1086.8662646821106,1245.0038498129823,451.5341818348784,1418.5642490491477,980.9420629669036,444.26861195495036,978.9724679774293,1304.248276038281,1610.9830002112944,1407.9617971502544,759.7541809128574,669.312138138546,1111.5909723261118,359.2106341300738,1565.2309699716434,954.6364506314592,413.48903704032307,1969.7800815714231,950.9448680561111,688.1924926864873,889.0930515653166,1262.9711433565967,1502.4898517864508,907.6724406481009,774.0183395870714,894.7316794763658,749.9066155361832,966.930777670855,23.0225,72.5714
Chennai,1031.8687770596405,1760.4686446995104,290.54316698169487,513.1679084541956,1368.413547194862,0.0,1355.3495030670692,913.1412868237752,1600.869331973932,1194.3531340339125,1525.4128254800867,1479.8334822594866,901.1706448519885,599.6903032681711,1166.2056321968362,1475.9187342069006,2024.4709246859447,1578.0570515052232,1031.197827516018,1724.3044428476264,1780.5683265937964,1430.9224259164741,1383.738600524551,2391.0822425975766,917.3825903144678,1351.984864946305,2127.3600271770283,1016.4509773133312,1377.4130105385661,1254.2226789221208,1350.6296806012176,427.1827497295045,1118.1813182932124,1470.4552845467263,380.97063489397937,1641.680988006811,420.7661918180383,915.5138444393808,1420.2267907858047,1878.3594213698711,1987.1725746804884,689.8718469039488,610.1255750965964,403.9109442894116,305.5978427037868,1694.4963748893954,1655.8171417835288,1751.3944620592579,1735.4102462853366,2076.721247412207,13.0827,80.2707
Kolkata,1656.861150286772,1318.13891581683,1558.515250675691,1182.0065495782494,1621.4753390340877,1355.3495030670692,0.0,1577.0367138840775,1359.1465943926505,1612.1426492115093,887.0908631661492,920.0328533261232,971.5210921402936,762.7228691412407,1125.7521127438922,468.5965467570146,1547.1160177244908,1163.4943632930026,1538.3074072878264,1284.146837599339,1282.455320798049,1807.0373875388034,627.175814532981,1839.6622429775077,1383.7489184076817,239.85848152170644,1670.2308678704971,1642.8441290746116,734.927652277995,324.66494532659516,10.629387616252572,1762.8653780273646,862.1772623930203,1108.4159814845264,1051.5453354635717,1606.833942252034,1775.3451485907758,710.9622541453784,1305.4560084039172,523.0188676016445,1463.8554027076648,1410.857734830606,1605.10009925642,1685.0175441424446,1660.3434665037776,1103.4802862314853,1190.8505416291691,1185.9359049863997,1312.0427532989233,1595.6792188609315,22.5726,88.3639
Pune,120.13816971268406,1175.3326520543105,733.0219527570083,506.29102742737217,516.0899647424286,913.1412868237752,1577.0367138840775,0.0,950.2150906174951,312.3883873180874,1174.4840969864708,1101.7851387820333,620.255495787679,995.0492423322543,641.9635373773117,1402.221639663619,1386.1820266349637,1048.7971542194293,163.65910418583272,1150.635106931175,1223.3352777660123,526.339811344164,1205.0055226188915,1726.893162887098,216.71320736960251,1429.6551249515362,1456.2702384555043,104.02749493242383,1125.1042812305602,1304.8401506868856,1567.64855853462,894.6878252520726,820.3097591515477,961.6174504274578,754.7646365896911,858.9990881507848,1056.2325062863654,868.1592742964326,769.6218074818066,2023.3566406512132,1384.6173929495383,236.94336736753343,374.4070566213735,750.6843321012832,1001.8666633085056,1229.7774572135922,1124.9015776521076,1247.5572737962198,1147.2381918548547,1429.0586847987956,18.5204,73.8567
Jaipur,917.5650883028599,237.09469950848037,1554.8292815343468,1091.0133360641662,539.4892160843393,1600.869331973932,1359.1465943926505,950.2150906174951,0.0,703.4184940459488,512.6067085007589,455.20650779011623,721.4886640805785,1275.9362033026812,436.5448184583914,945.2280425520755,442.12703275706735,222.2728362430295,792.5136692529612,224.28232841576474,297.3002522126754,717.7631709863988,740.073567104155,800.6673388207099,780.5808334306612,1125.103672825281,530.8373512094589,917.1697876525415,627.3384156495762,1038.026286589601,1348.6566303544405,1763.8602369487803,591.810978891027,250.75058952248406,1256.8284188584203,285.19068647916754,1896.2658198894571,863.4667650955897,188.34591303987787,1590.7816390117582,434.4043216465654,1024.6570475473038,1280.4266961569438,1620.565865599553,1810.6882096093627,393.97928741151543,252.3496587139776,363.32796176485397,210.56034155534533,489.6255656302549,26.9124,75.7873
Surat,231.8915382644917,939.2240011298726,1039.1428249211037,727.1748953271652,206.85134514860937,1194.3531340339125,1612.1426492115093,312.3883873180874,703.4184940459488,0.0,1037.2796260624305,961.9569705192765,649.8296044635772,1156.6528167270953,525.9595464435548,1349.3363504070153,1119.6459762907616,847.885858011868,163.84669722894168,921.0421119502362,995.2829220536034,244.56118657624293,1134.5571124548703,1444.0219390971513,298.61301874433786,1428.7155730110178,1177.0145774215157,237.50984488963812,1035.7172904616427,1308.0795756355103,1601.9584578864603,1206.878219919292,770.7133225428526,781.1378668375063,971.9253191939836,561.7264685089846,1367.097951590711,913.4194132577837,544.9172518299847,2003.541867764028,1130.6019447486246,505.24479011861536,686.7462158368576,1062.5640557902536,1308.9270740894374,1039.20592205906,915.6541295093364,1039.4467473306445,911.8510424482496,1157.9900148867303,21.1702,72.8311
Lucknow,1193.0791124676844,431.1169022310162,1575.3860507190388,1077.9205482466803,945.6767989159893,1525.4128254800867,887.0908631661492,1174.4840969864708,512.6067085007589,1037.2796260624305,0.0,75.32265568906749,659.0853600726309,1040.9288279756609,533.7861715863543,441.2083681628718,669.4436698572915,293.86703648217167,1053.2014872723216,397.7319516561888,397.2501983844007,1143.5216247040128,264.2898968399221,995.6622617712942,960.9789359716865,647.2829823856722,793.5577044432432,1185.9023823052303,180.37383045555256,586.6462844943624,877.0938861310914,1801.6029502272202,417.39886293471034,284.0630011668835,1145.3985027256167,792.1774742548628,1896.4979525132362,623.6139051025245,539.765111832501,1078.178751239356,592.3896299440747,1141.8782601344346,1407.2386999840926,1672.5693311087496,1792.8492525220997,225.32137379062848,305.7708072212856,307.45414952361864,426.02705079000384,720.765436725965,26.8467,80.9462
Kanpur,1118.7240810657095,405.034481865487,1519.2823383080363,1021.6537711467666,871.7976094128529,1479.8334822594866,920.0328533261232,1101.7851387820333,455.20650779011623,961.9569705192765,75.32265568906749,0.0,600.9621930718523,1014.941629592966,460.30018421717915,490.26650369389375,659.1190066184613,244.65554811697046,978.8746554675347,368.67095621362756,381.976506437536,1069.8608362497637,292.97325482260186,999.4503983879749,889.0934678025532,681.5667515342234,782.6253392467631,1111.7125615222,188.7628013735264,609.2252100038937,909.7912547941253,1744.765635081212,363.72219368905024,216.07697113549386,1101.5051116415327,729.750072663375,1843.8721038682604,590.7329073863281,468.30399773322375,1139.0143746912368,588.2250092973024,1074.9142633207496,1341.1083071886878,1613.8510434251189,1741.8012589374348,230.38014152846318,274.171863465592,306.1319261181309,395.3732156441446,712.0323227274072,26.4499,80.3319
Nagpur,688.6091190408852,860.8887118375447,918.4868421675831,421.076340890121,703.823157448459,901.1706448519885,971.5210921402936,620.255495787679,721.4886640805785,649.8296044635772,659.0853600726309,600.9621930718523,0.0,578.5366056365641,290.9474056111912,790.4962631043475,1127.9341610609374,676.9350142044145,566.8359610740841,824.17614755625,879.424525715978,866.6858057620691,609.5063748580334,1494.5094613963743,415.1138047082899,810.4548385626158,1235.4989661424045,675.3573860940709,552.5244767154725,685.8728593338182,961.6469143132881,1143.8041900798764,243.71050262687257,569.3325899620322,539.2144254430447,836.8036867924496,1245.9597414973455,264.135293020975,558.4016255356573,1403.222319310198,1086.9733654431334,510.4357347365939,764.8473006887637,1013.5449956776073,1146.659840310862,800.6409359883093,754.6767327420479,852.7524294252374,836.4744025798063,1180.984810442201,21.1458,79.0882
Visakhapatnam,1103.3471379839502,1370.7217966141438,797.9138267903313,503.5111059336706,1258.1980343917237,599.6903032681711,762.7228691412407,995.0492423322543,1275.9362033026812,1156.6528167270953,1040.9288279756609,1014.941629592966,578.5366056365641,0.0,864.3831161033719,897.754241023641,1642.1637820894957,1179.4361635801542,1025.8870183349575,1331.9267600599453,1371.7541534196557,1395.5517437143037,845.2982297492782,2000.946912505517,864.7870146801525,754.4440291813115,1759.1659807453468,1086.922215146482,869.6789211044443,663.1755353995173,757.1823567665288,1000.1745578995768,695.4806506568611,1078.087449250104,303.1726294813064,1414.9241485539317,1020.1920794644203,428.39503643467657,1128.8433248600916,1284.2611524623817,1585.278460997927,775.75818192132,901.3725809397037,925.2341464677729,905.0751516637454,1244.6258211449053,1246.9828945067284,1315.764072306304,1350.562437936547,1696.3727129584688,17.6868,83.2185
Bhopal,660.4862985512904,603.95104657471,1138.9138372637078,659.9947737570506,496.4876028568275,1166.2056321968362,1125.7521127438922,641.9635373773117,436.5448184583914,525.9595464435548,533.7861715863543,460.30018421717915,290.9474056111912,864.3831161033719,0.0,824.7983182298726,860.5793020738253,438.0165629342496,520.6713728968687,570.515836808442,634.9102992613862,686.9374198675865,608.788987261695,1226.4082149979906,431.60512662192025,922.6472937195917,961.2236215655173,652.781146001372,510.3467064318446,807.7616289083248,1115.22725592287,1355.8633604849213,263.58112432599955,336.8316114398028,820.7374364351465,553.0280537508024,1477.6564355637302,488.22527012096896,267.47854772183183,1483.344094421827,830.4612993334052,639.5668075390458,906.4012881584453,1216.268994231864,1386.833727369099,600.8449478812919,518.2094337458418,632.8635795610596,577.3409825659563,912.0453216001547,23.2599,77.4126
Patna,1453.4930196629075,867.5369847747193,1605.4611661896647,1140.1541909428083,1306.3912871392738,1475.9187342069006,468.5965467570146,1402.221639663619,945.2280425520755,1349.3363504070153,441.2083681628718,490.26650369389375,790.4962631043475,897.754241023641,824.7983182298726,0.0,1083.4293966873954,732.6067335349402,1318.853655528993,836.2207200688673,825.7899691981737,1503.1200488707232,219.75537324853485,1371.1054478577867,1188.068043808227,238.3206538074223,1205.6499593024812,1442.4908871902824,331.31465562195785,249.8307065277528,459.63801124389005,1829.2735775004053,586.8432451674927,700.1863486898532,1108.8383823033828,1215.2691115831492,1886.0099770323636,599.7931500050922,933.766474091549,664.0974073733113,998.5567029551308,1297.2156754453003,1539.3332931132352,1721.3715628174793,1773.300995780319,644.3836584297144,746.1047459126295,725.5840188983357,864.9562611459323,1130.7733655386187,25.5941,85.1376
Ludhiana,1343.816028055739,271.6474738197601,1993.4267701356357,1520.5740754470723,931.7785293397746,2024.4709246859447,1547.1160177244908,1386.1820266349637,442.12703275706735,1119.6459762907616,669.4436698572915,659.1190066184613,1127.9341610609374,1642.1637820894957,860.5793020738253,1083.4293966873954,0.0,462.872596361196,1225.588181035008,310.3184602384857,277.47924725813124,1077.026252921638,933.2850315935976,366.7301601304871,1222.426280675259,1308.1295191806873,124.1151520509743,1345.145131229111,843.9314747111517,1255.6877503059477,1537.5090339370354,2204.593066935224,948.1639247182512,566.6220241511087,1666.9165771594396,586.2759413554024,2334.2017762798723,1214.5305141318424,630.2610081283627,1639.3600076109653,90.16936883266852,1466.666551122153,1722.2777978621389,2061.7620391777396,2246.0504234796645,445.61576113833223,397.11098899441794,362.78259169098084,293.34021374988555,54.215610070158945,30.901,75.8573
Agra,1039.3463909667537,191.29250347237044,1573.2309969638563,1085.411045038943,715.7099725797044,1578.0570515052232,1163.4943632930026,1048.7971542194293,222.2728362430295,847.885858011868,293.86703648217167,244.65554811697046,676.9350142044145,1179.4361635801542,438.0165629342496,732.6067335349402,462.872596361196,0.0,904.0015108327499,152.5543061140879,202.52422232931005,906.6812319611009,537.1146448836671,825.1449671952646,853.0220521170314,925.6682232289968,580.195152544254,1035.762724303556,429.03130545455497,848.9896358774228,1153.1877807180115,1792.2783730136957,485.3969243062898,107.60336371649163,1212.5242747757152,506.6664184196081,1909.6641732099945,752.2386484519145,305.2508941457476,1370.7336083496564,411.98056554871823,1075.778451790035,1341.5087587689416,1653.5893991136406,1815.386016944888,192.48745342644384,80.25126532953864,198.95350284129324,171.92741783304845,517.0545760738157,27.1767,78.0081
